Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace (min/mi),Avg Speed (mi/h),Max Speed (mi/h),Avg Heart Rate,Steps,Notes,Source,Link
"Sept. 29, 2020","Sept. 29, 2020",Run,130,1.01984,439,7.1743,5.83164,8.36319,10.2887,,1193,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4715786233
"Sept. 27, 2020","Sept. 27, 2020",Run,192,1.26543,887,11.6825,7.8221,5.13591,7.67057,,2299,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4709830609
"Sept. 27, 2020","Sept. 27, 2020",Run,169,1.15966,708,10.1754,5.20748,5.89658,11.5219,,1856,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4709796943
"Sept. 27, 2020","Sept. 27, 2020",Run,210,1.51938,769,8.43548,5.91386,7.11282,10.1457,,2052,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4709771005
"Sept. 9, 2020","Sept. 9, 2020",Run,189,1.30962,779,9.91381,5.54871,6.05216,10.8133,,2046,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4661201755
"Aug. 5, 2020","Aug. 5, 2020",Run,130,1.00916,440,7.2668,5.45811,8.25673,10.9928,,1194,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4562960395
"July 24, 2020","July 24, 2020",Run,167,1.22411,596,8.11477,6.49177,7.39393,9.24248,,1597,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4527360427
"July 19, 2020","July 19, 2020",Run,268,2.01308,935,7.74103,5.93428,7.75091,10.1107,,2518,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4512650242
"June 29, 2020","June 29, 2020",Run,145,1.04565,548,8.73459,5.2871,6.86924,11.3484,,1457,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4453239751
"May 28, 2020","May 28, 2020",Run,86,0.78922,809,17.0844,5.60475,3.51198,10.7052,,2045,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4342735498
"May 28, 2020","March 18, 2020",Run,421,3.01018,1651,9.14119,2.16776,6.5637,27.6783,,4370,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4342692235
"March 9, 2020","March 9, 2020",Run,697,5.07113,2518,8.27561,5.53883,7.25022,10.8326,,6732,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4072231852
"Feb. 19, 2020","Feb. 19, 2020",Run,336,2.51841,1172,7.75622,2.00983,7.73573,29.8532,,3156,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4039557769
"Feb. 1, 2020","Jan. 10, 2020",Run,712,5.11945,2678,8.71839,6.11685,6.88201,9.80897,,7122,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4010649253
"Dec. 5, 2019","Dec. 5, 2019",Run,127,1.05215,1820,28.8298,5.10732,2.08118,11.7478,,4500,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/3927498058
"Oct. 28, 2019","Oct. 28, 2019",Run,656,5.10993,2213,7.21797,3.46571,8.31259,17.3124,,6008,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/3871791868
"Oct. 23, 2019","Oct. 23, 2019",Run,710,5.14091,2589,8.39345,3.19865,7.14843,18.7579,,6912,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/3864061639
"Oct. 23, 2019","Oct. 23, 2019",Run,224,1.61323,827,8.54395,2.79174,7.02251,21.4919,,2204,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/3863250682
"Oct. 23, 2019","Oct. 21, 2019",Run,8655,2.58789,175864,1132.61,5.92845,0.0529749,10.1207,,420976,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/3863224213
"Oct. 15, 2019","Oct. 15, 2019",Run,684,5.28294,2328,7.3444,4.96229,8.16949,12.0912,,6307,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/3850184452
"Oct. 6, 2019","Oct. 6, 2019",Run,127,1.12649,1005,14.8692,3.62653,4.03519,16.5448,,2561,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/3833732980
"Oct. 6, 2019","Oct. 2, 2019",Run,263,1.74091,1166,11.1627,3.84294,5.37502,15.6131,,3032,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/3833691820
"Sept. 30, 2019","Sept. 30, 2019",Run,683,5.28785,2313,7.29029,4.31259,8.23012,13.9128,,6272,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/3822718663
"Sept. 23, 2019","Sept. 23, 2019",Run,707,5.24427,2488,7.90704,3.93415,7.58817,15.2511,,6685,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/3809625301
"Sept. 20, 2019","Sept. 20, 2019",Run,723,5.31756,2555,8.00806,4.18937,7.49245,14.322,,6855,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/3803936731
"Sept. 16, 2019","Sept. 16, 2019",Run,693,5.33774,2371,7.40326,1.53558,8.10454,39.0731,,6418,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/3795631765
"Sept. 4, 2019","Sept. 4, 2019",Run,319,2.1256,1500,11.7614,4.44358,5.10144,13.5026,,3885,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/3772023412
"Sept. 3, 2019","Sept. 3, 2019",Run,203,1.50267,718,7.9636,4.23143,7.53428,14.1796,,1928,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/3769288915
"Aug. 30, 2019","Aug. 30, 2019",Run,221,1.62477,780,8.00113,4.42296,7.49894,13.5656,,2093,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/3761656831
