Date Submitted,Workout Date,Activity Type,Calories Burned,Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace (min/mi),Avg Speed (mi/h),Max Speed (mi/h),Avg Heart Rate,Steps,Notes,Source,Link
"July 16, 2024","July 16, 2024",Run,0,1.49803,867,9.64598,5.30293,6.22021,11.3145,,2112,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/8051593891
"July 16, 2024","May 5, 2024",Run,0,0,40,0,0,0,0,0,0,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/8051565745
"Aug. 17, 2023","Aug. 17, 2023",Run,0,14.646,10558,12.0147,5.83931,4.9939,10.2752,,23202,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/7464324817
"Aug. 17, 2023","Aug. 17, 2023",Run,0,0.0364021,41,18.7718,15.6624,3.19628,3.83083,,77,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/7463988379
"Aug. 9, 2023","Aug. 9, 2023",Run,0,2.22569,1467,10.9854,6.7454,5.46181,8.89495,,3293,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/7448220160
"Aug. 8, 2023","Aug. 8, 2023",Run,0,0.39771,248,10.3928,7.86276,5.77321,7.63091,,629,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/7446486817
"Aug. 8, 2023","Aug. 8, 2023",Run,0,1.64211,928,9.41878,3.78137,6.37025,15.8673,,2189,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/7446424840
"Aug. 7, 2023","Aug. 7, 2023",Run,0,5.00122,2747,9.15443,3.70153,6.5542,16.2095,,6764,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/7444267744
"Aug. 4, 2023","Aug. 4, 2023",Run,0,7.99979,4599,9.5815,6.27136,6.26207,9.5673,,11175,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/7438082341
"July 29, 2023","July 29, 2023",Run,0,2.00815,1054,8.74769,7.07391,6.85895,8.48188,,2682,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/7426062658
"July 28, 2023","July 28, 2023",Run,0,3.00676,1809,10.0274,6.67192,5.98359,8.99292,,4442,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/7424477746
"July 25, 2023","July 25, 2023",Run,0,5.00293,2756,9.18129,3.70058,6.53503,16.2137,,6683,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/7418641873
"July 24, 2023","July 24, 2023",Run,0,1.07835,539,8.33066,5.88673,7.20231,10.1924,,1312,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/7416370795
"July 18, 2023","July 18, 2023",Run,0,5.43558,3502,10.7379,5.88292,5.58768,10.199,,8129,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/7404836284
"July 17, 2023","July 17, 2023",Run,0,5.22742,3169,10.1038,5.15998,5.93837,11.628,,7624,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/7402270834
"July 5, 2023","July 5, 2023",Run,0,6.54837,4462,11.3565,5.68886,5.28331,10.5469,,9860,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/7378245775
"June 21, 2023","June 21, 2023",Run,0,5.5087,3584,10.8435,3.58402,5.53329,16.741,,7912,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/7351063168
"June 21, 2023","June 14, 2023",Run,0,2.00474,1322,10.9906,6.80516,5.45919,8.81683,,2984,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/7350837688
"June 12, 2023","June 12, 2023",Run,0,5.00197,3230,10.7624,6.34189,5.57495,9.4609,,7170,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/7332412651
"May 31, 2023","May 31, 2023",Run,0,5.44687,3387,10.3637,5.48965,5.78941,10.9297,,7497,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/7307948341
"May 22, 2023","May 22, 2023",Run,0,5.32694,2976,9.31116,5.85754,6.44388,10.2432,,7070,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/7288619896
"May 8, 2023","May 8, 2023",Run,0,0.712667,354,8.27877,6.67749,7.24746,8.98542,,874,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/7258893739
"May 8, 2023","May 8, 2023",Run,0,0.740128,405,9.12005,6.75271,6.57891,8.88533,,998,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/7258757749
"April 24, 2023","April 24, 2023",Run,0,0.279658,118,7.03241,2.95044,8.53193,20.3359,,321,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/7230911245
"Nov. 21, 2022","Nov. 21, 2022",Run,0,1.76066,1299,12.2965,5.78723,4.87942,10.3677,,2077,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6971654251
"Nov. 21, 2022","Nov. 21, 2022",Run,0,1.68937,1990,19.6325,5.58474,3.05616,10.7436,,2416,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6971623321
"Nov. 10, 2022","Nov. 10, 2022",Run,0,1.01465,478,7.85162,6.44747,7.64174,9.30598,,1212,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6954677248
"Nov. 10, 2022","Nov. 10, 2022",Run,0,1.53626,861,9.34087,5.13278,6.42338,11.6896,,2107,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6954350191
"Nov. 10, 2022","Oct. 25, 2022",Run,0,0.314966,67,3.54536,2.02156,16.9235,29.68,,204,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6954324937
"Oct. 25, 2022","Oct. 25, 2022",Run,0,1.56787,773,8.2171,3.94336,7.30185,15.2154,,1911,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6926548384
"Oct. 19, 2022","Oct. 19, 2022",Run,0,1.60913,728,7.5403,2.15707,7.95724,27.8155,,1881,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6915648364
"Oct. 18, 2022","Oct. 18, 2022",Run,0,0.640504,324,8.43087,3.42425,7.11671,17.5221,,829,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6913724308
"Oct. 12, 2022","Oct. 12, 2022",Run,0,1.17451,562,7.97494,2.93142,7.52357,20.4679,,1428,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6902668120
"Oct. 8, 2022","Oct. 8, 2022",Run,0,2.18505,1289,9.83196,6.59816,6.10255,9.09344,,2835,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6893450098
"Oct. 7, 2022","Oct. 7, 2022",Run,0,1.59253,900,9.41897,6.21796,6.37013,9.64947,,2251,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6891449482
"Sept. 30, 2022","Sept. 30, 2022",Run,0,5.01261,3303,10.9823,5.55149,5.46333,10.8079,,7711,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6878084215
"Sept. 19, 2022","Sept. 19, 2022",Run,0,2.10353,1378,10.9182,2.37501,5.49544,25.2631,,148,b'mbta morning ride',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6855412456
"Sept. 16, 2022","Sept. 16, 2022",Run,0,5.01583,2546,8.45989,5.68854,7.09229,10.5475,,6507,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6850037410
"Sept. 14, 2022","Sept. 14, 2022",Run,0,1.99906,1633,13.6147,6.27042,4.407,9.56874,,3282,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6845192665
"Sept. 13, 2022","Sept. 13, 2022",Run,0,0.701665,421,10.0,6.72055,5.99999,8.92785,,1068,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6842882602
"Aug. 15, 2022","Aug. 15, 2022",Run,0,1.01658,971,15.9194,4.80329,3.76898,12.4915,,1054,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6781332997
"Aug. 12, 2022","Aug. 12, 2022",Run,0,1.01215,430,7.08062,5.7566,8.47383,10.4228,,1135,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6775837993
"Aug. 8, 2022","Aug. 8, 2022",Run,0,1.00825,452,7.47168,6.06817,8.03032,9.88767,,1202,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6766040050
"July 27, 2022","July 27, 2022",Run,0,2.06649,1020,8.22649,2.04058,7.29351,29.4034,,2284,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6740920666
"July 26, 2022","July 26, 2022",Run,0,1.01108,437,7.20349,4.56433,8.3293,13.1454,,1148,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6738558205
"July 26, 2022","July 20, 2022",Run,0,1.01766,572,9.36788,5.33592,6.40487,11.2445,,1488,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6738509029
"July 20, 2022","July 20, 2022",Run,0,1.01283,575,9.46192,6.30146,6.3412,9.5216,,1482,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6725494975
"July 18, 2022","July 18, 2022",Run,0,5.04669,3134,10.35,5.55201,5.79709,10.8069,,7191,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6721337188
"July 13, 2022","July 13, 2022",Run,0,1.18763,629,8.82708,3.40192,6.79727,17.6371,,1624,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6710798752
"July 13, 2022","July 13, 2022",Run,0,1.004,475,7.88512,5.98598,7.60927,10.0234,,1246,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6709932688
"July 13, 2022","July 8, 2022",Run,0,0.430311,236,9.14067,5.49749,6.56407,10.9141,,540,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6709864123
"June 21, 2022","June 21, 2022",Run,0,1.00006,592,9.86603,6.19618,6.08147,9.68338,,1486,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6662589562
"June 15, 2022","June 15, 2022",Run,0,1.42892,758,8.84119,6.58098,6.78642,9.11718,,1955,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6649474069
"June 15, 2022","June 15, 2022",Run,0,0.131926,39,4.927,2.00244,12.1778,29.9635,,104,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6649444618
